이름*,맛,당도*,도수*,색상*,베이스*,레시피*,키워드,설명*,신맛내는거,,신맛내는거 포함 문자열
로열 피즈,상큼한맛,중간 맛,12,#a58200,gin,"드라이 진, 레몬 주스, 설탕 시럽, 계란, 소다수",,미세하게 거품이 생겨서 삼킬 때 상큼한 드링크.,1,,
로열 로망스,상큼한맛,중간 맛,30,#955501,gin,"드라이 진, 그랑 마니에, 패션 프루트 주스, 그레나덴 시럽",,트로피컬 프루트의 정열적인 맛.,1,,
로드스터,,중간 맛,27,#b18900,gin,"드라이 진, 그랑 마니에, 오렌지 주스",,많이 마실 수 있을 것 같은 오렌지 주스풍 칵테일.,1,,
롱 아일랜드 아이스티,,중간 맛,15,#90662d,gin,"드라이 진, 보드카, 화이트 럼, 테킬라, 화이트 큐라소, 레몬 주스, 콜라",,"홍차를 사용하지 않고, 아이스 티의 색과 맛을 낸다.",1,,
런던 아이,상쾌한맛,중간 맛,23,#b46200,gin,"비피터 진, 루제 크림 드 블루베리, 루제 크림 드 베세, 산페스터 그레이프 프루트 100, 산토리 그레나덴 시럽",,입안에 퍼지는 상쾌한 맛.,1,,
런던의 마녀,,중간 맛,23,#d0a500,gin,"비피터 드라이 진, 루제 크림 드 프랑부아즈, 스톤스 진저 와인, 산토리 칵테일 레몬, 산토리 그레나덴 시럽",,런던의 밤하늘을 나는 마녀를 연상.,1,,
아쿠덕트,감칠맛,중간 맛,26,#c09300,vodka,"보드카, 큐라소, 아프리콧 브랜디, 라임 주스",,살구 향이 나는 감칠맛이 나는 칵테일.,1,,
아프레 스키,시원한맛,중간 맛,26,#71901b,vodka,"보드카, 크림 드 민트 그린, 페르노, 소다수",,페르노의 얌전한 맛. 민트의 시원한 칵테일.,0,,
안젤로,상쾌한맛,중간 맛,12,#b79116,vodka,"보드카, 갈리아노, 서던 컴포트, 오렌지 주스, 파인애플 주스",,과일 주스와 같은 감칠맛이 나는 상쾌한 맛.,1,,
앰파이넨,단맛,중간 맛,28,#b8903d,vodka,"보드카, 크림 드 바나누, 진저 에일",,입안에 바나나의 맛과 향이 산뜻하고 달콤한 칵테일.,0,,
이스트 윙,,중간 맛,22,#a74c34,vodka,"보드카, 체리 브랜디, 캄파리",,체리 브랜드의 맛을 끌어낸 칵테일.,0,,
보드카 아이스버그,쓴맛 ,쓴맛,35,#c5c3ba,vodka,"보드카, 페르노",,보드카의 스트레이트에 가까운 빙산과 비슷한 얼얼한 맛.,0,,
보드카 애플 주스,단맛,단맛,12,#b9a869,vodka,"보드카, 애플 주스",,간단한 재료지만 맛은 본격파.,0,,
보드카 칵테일,,중간 맛,31,#b66e4a,vodka,"보드카, 체리 브랜디, 레몬 주스",,보드카 베이스 중에서도 도수가 센 칵테일.,1,,
보드카 깁슨,쓴맛 ,쓴맛,36,#a49aa7,vodka,"보드카, 드라이 베르무트",,마티니와 같은 스탠더드 칵테일.,0,,
보드카 김렛,,중간 맛,30,#b5bcab,vodka,"보드카, 플레시 라임 주스, 설탕 시럽",,진 베이스와는 다른 하드보일드 터치.,1,,
보드카 토닉,상쾌한맛,중간 맛,18,#b2acbe,vodka,"보드카, 토닉 워터",,목으로 넘길 때 상쾌한 사계절용.,0,,
보드카 리키,신맛,중간 맛,12,#a29a7a,vodka,"보드카, 라임, 소다수",,라임의 상쾌함이 보드카의 맛을 자아낸다.,1,,
보드카티니,쓴맛 ,쓴맛,31,#998158,vodka,"보드카, 드라이 베르무트",,마티니의 보드카 판. 드라이한 맛이 독특하다.,0,,
S.W.I,,중간 맛,26,#9a3f29,vodka,"보드카, 캄파리, 오렌지 주스, 계란 흰자",,캄파리의 비터 맛이 전체에 살아 있는 칵테일.,1,,
엠 45,"산뜻한맛, 감칠맛",중간 맛,28,#8e6e5a,vodka,"보드카, 슬로진, 라임 주스",,산뜻한 감칠맛이 식욕을 자극하는 칵테일.,1,,
올드 잉글랜드,쓴맛 ,쓴맛,20,#afa69d,vodka,"보드카, 셰리",,옛 시대를 연상시키는 간단한 레시피의 식전주.,0,,
옴니아,,중간 맛,28,#9a762f,vodka,"보드카, 브랜디, 드라이 베르무트, 만다린 리큐르, 오렌지 리큐르",,브랜디의 향이 전체에 퍼지는 칵테일.,1,,
카이피로스카,상큼한맛,중간 맛,30,#a29a70,vodka,"보드카, 라임, 설탕",,라임 색이 신선한 칵테일.,1,,
카운트 스토로가노프,쓴맛 ,쓴맛,30,#a8977b,vodka,"보드카, 크림 드 카카오 화이트, 플레시 레몬 주스",,초콜릿 맛으로 매우 산뜻한 드링크.,1,,
카미카제,쓴맛 ,쓴맛,25,#c4b383,vodka,"보드카, 화이트 큐라소, 라임 주스",,예리한 감칠맛에서 생겨난 미국의 칵테일.,1,,
그루프 스트림,,중간 맛,20,#7792b2,vodka,"보드카, 피치 리큐르, 블루 큐라소, 그레이 프루트 주스, 파인애플 주스",,과일 향이 가득한 아름다운 블루 칵테일.,1,,
키스 오브 파이어,단맛,중간 맛,26,#6e3625,vodka,"보드카, 슬로 진, 드라이 베르무트, 레몬 주스",,입술에 달콤함이 남는 타는 듯한 키스의 맛.,1,,
키시 로즈,,중간 맛,26,#ba816a,vodka,"보드카, 장미 리큐르, 드라이 세리, 그레나덴 시럽, 플레시 라임 주스",,장미향에 휩싸여 있는 듯한 여성에게 인기가 있는 칵테일.,1,,
키스 미,감칠맛,중간 맛,22,#a58881,vodka,"보드카, 프랑젤리코, 드링크 요구르트, 그레나덴 시럽",,부드러운 감칠맛의 키스를 유혹하는 칵테일.,1,,
그랑프리,,중간 맛,28,#b4600b,vodka,"보드카, 드라이 베르무트, 쿠앵트로, 레몬 주스, 그레나덴 시럽",,칵테일다운 성숙한 분위기를 지닌다.,1,,
그린 판타지,"쓴맛, 단맛",중간 맛,25,#77750c,vodka,"보드카, 드라이 베르무트, 멜론 리큐르, 라임 주스",,쌉쌀한 증류수가 리큐르로 중화된다.,1,,
그린 필즈,단맛,단맛,18,#8a977c,vodka,"보드카, 그린티 리큐르, 우유",,"우유를 첨가한 부드러운 맛, 녹색의 배합이 아름다운 칵테일.",0,,
크레치마,,중간 맛,25,#852b06,vodka,"보드카, 카카오 리큐르, 레몬 주스, 그레나덴 시럽",,카카오의 맛이 살아 있는 멋있는 칵테일.,1,,
케이프 코더,깊은맛,중간 맛,20,#572e19,vodka,"보드카, 크란베리 주스",,간단한 레시피이면서 맛이 깊은 칵테일.,1,,
골든 스크루,부드러운맛,중간 맛,12,#b18400,vodka,"보드카, 오렌지 주스",,소프트 드링크와 비슷한 마시기 부드러운 칵테일.,1,,
골든 텅,단맛,중간 맛,21,#cac8b4,vodka,"보드카, 스트레가, 바나나 리큐르, 오렌지 시럽",,"리큐르의 쌉쌀함, 바나나의 단맛의 감칠맛이 좋다.",1,,
코사크,쓴맛 ,쓴맛,28,#d7b953,vodka,"보드카, 브랜디, 라임 주스, 설탕 시럽",,코사크 병사의 강인함을 칵테일에 표현한 드링크.,1,,
코스모폴리탄,,중간 맛,22,#a04b40,vodka,"보드카, 화이트 큐라소, 크란베리 주스, 라임 주스",,뉴욕에서 유행하는 칵테일.,1,,
갓마더,부드러운맛,중간 맛,34,#775d1e,vodka,"보드카, 아말렛",,"특징이 없는 보드카 베이스, 아마렛의 부드러운 향.",0,,
콜로니,쓴맛 ,쓴맛,22,#b48e13,vodka,"보드카, 서던 컴포트, 플레시 라임 주스",,전혀 단맛이 없는 산뜻한 칵테일.,1,,
시 브리즈,개성적인맛,중간 맛,12,#b2978f,vodka,"보드카, 크란베리 주스, 그레이프 프루트 주스",,개성적인 맛으로 밤의 분위기에 어울린다.,1,,
짚시,,중간 맛,33,#d4b551,vodka,"보드카, 베네딕틴, 앙고스트라 비터스",,유랑민 짚시를 연상한 독특한 맛이 매력.,0,,
실버 윙,쓴맛 ,쓴맛,31,#9c9da8,vodka,"보드카, 쿠앵트로, 드라이 베르무트",,"색도 맛도 깨끗한, 도수가 높은 칵테일.",0,,
스크루 드라이버,상큼한맛,중간 맛,12,#bf9f00,vodka,"보드카, 오렌지 주스",,오렌지 주스와 보드카의 하모니.,1,,
스트로베리 필즈,단맛,단맛,16,#a89287,vodka,"보드카, 스트로베리 크림 리큐르, 플레시 크림, 밀크",,딸기의 달콤한 향기. 여성에게 어울리는 칵테일.,1,,
스노 플레이크,단맛,단맛,22,#ad7e00,vodka,"보드카, 갈리아노, 서던 컴포트, 애드보카트, 오렌지 주스, 레모네이드",,과일 향이 강하고 농후한 맛이 나는 식후주.,1,,
스매시,신맛,중간맛,15,#8a2d08,vodka,"보드카, 블랙 베리 브랜디, 만다린 리큐르, 레몬 주스",,블랙 베리(나무딸기)의 향이 상쾌하다.,1,,
슬러지 해머,쓴맛 ,쓴맛,30,#b4b4b3,vodka,"보드카, 라임 주스 코디알",,그 이름대로 아주 쓴맛의 칵테일.,0,,
섹스 온 더 비치,,중간 맛,10,#c09700,vodka,"보드카, 멜론 리큐르, 크림 드 프랑부아즈, 파인애플 주스",,영화에 등장한 것이 시작. 일본에서도 인기.,1,,
소비에트,,쓴맛,30,#8f8472,vodka,"보드카, 드라이 베르무트, 셰리",,셰리의 향과 맛이 살아있는 칵테일.,0,,
솔티 도그,,중간 맛,13,#b9ae6f,vodka,"보드카, 그레이프 프루트 주스",,스탠더드 중에서도 예전부터 인기가 있는 칵테일.,1,,
턱시도,쓴맛 ,쓴맛,28,#a6a4a0,vodka,"보드카, 드라이 베르무트, 오렌지 비터, 마라스키노 ",,밤의 사교장에 어울리는 공식적인 칵테일.,1,,
타와리시,산뜻한맛,중간 맛,28,#bec1bd,vodka,"보드카, 큔멜, 라임 주스",,청량감이 있는 산뜻한 맛.,1,,
치치,단맛,단맛,7,#d3d2bd,vodka,"보드카, 파인애플 주스, 코코넛 밀크, 플레시 레몬 주스",,트로피컬 무드 만점. 과일로 즐거움을 연출.,1,,
츠아리느,우아한맛,중간 맛,27,#a57d32,vodka,"보드카, 드라이 베르무트, 아프리콧 브랜디, 앙고스트라 비터",,우아함과 향기가 좋은 맛으로 황후의 칵테일.,0,,
데로바드,깊은맛,중간 맛,28,#954b14,vodka,"보드카, 보와르 윌리암, 트리플 섹, 프레이즈 드 보르도, 플레시 라임 주스",,5종류의 과일이 융합하여 깊이가 있는 맛의 칵테일.,1,,
트로이카,산뜻한맛,중간 맛,18,#ab9979,vodka,"보드카, 화이트 큐라소, 레몬 주스",,산뜻한 맛의 성인을 위한 식전주.,1,,
니노치카,쓴맛 ,쓴맛,24,#b2a78f,vodka,"보드카, 크림 드 카카오 화이트, 레몬 주스",,레몬의 신맛의 뚜렷하게 입안에 남는 쓴 칵테일.,1,,
바바라,단맛,단맛,23,#b8a68e,vodka,"보드카, 크림 드 카카오, 플레시 크림",,초콜릿 맛의 달고 마시기 부드러운 칵테일.,0,,
바브드 와이어,쓴맛 ,쓴맛,32,#8f6008,vodka,"보드카, 스위트 베르무트, 페르노",,무취의 보드카에 향을 낸 강한 칵테일.,0,,
하베이 월벙거,,중간 맛,13,#dab500,vodka,"보드카, 오렌지 주스, 갈리아노",,하베이 전설에서 갑자기 유명해진 칵테일.,1,,
하이 라이프,단맛,단맛,30,#cbb169,vodka,"보드카, 화이트 큐라소, 파인애플 주스, 계란 흰자",,상류 계급의 화려함을 샴페인 글라스에 표현.,1,,
바카라,,중간 맛,33,#708ac7,vodka,"보드카, 테킬라, 화이트 큐라소, 브루 큐라소, 레몬 주스",,두 개의 증류수가 바카라의 글라스에 융합한다.,1,,
패트리샤,단맛,중간 맛,26,#9f5f3b,vodka,"보드카, 트리플 섹, 스위트 베르무트",,"중간 맛이면서 미세한 단맛이 나는, 천천히 음미하고 싶은 칵테일.",0,,
파나세,,중간 맛,17,#98573f,vodka,"보드카, 체리 브랜디, 드라이 베르무트",,"예전부터 있던, 아름다운 색채와 술맛이 좋은 칵테일.",0,,
바히네,상큼한맛,중간 맛,20,#af6d39,vodka,"보드카, 체리 브랜디, 파인애플 주스, 레몬 주스, 코코넛 밀크",,트로피컬 드링크로는 친숙한 칵테일.,1,,
발라라이카,산뜻한맛,중간 맛,26,#9e9cbb,vodka,"보드카, 화이트 큐라소, 레몬 주스",,산뜻한 맛의 하얀 칵테일.,1,,
벌루션,상큼한맛,중간 맛,20,#d07550,vodka,"보드카, 스트로베리 리큐르, 그레이프 프루트 주스, 그레나덴 시럽, 레몬 주스",,과일 맛이 나는 트로피컬 칵테일.,1,,
판타지아,단맛,중간 맛,26,#bc371b,vodka,"보드카, 샤르트뢰즈 오렌지, 체리 브랜디, 그레이프 프루트 주스",,혀에 남는 체리의 단맛이 좋은 칵테일.,1,,
페스트루스,쓴맛 ,쓴맛,28,#6d4b3d,vodka,"보드카, 그랑 마니에, 비터 친자노",,비터의 맛에 도취된 수수한 여성이 좋아하는 칵테일.,0,,
피닉스,단맛,단맛,18,#a0341d,vodka,"보드카, 알리제 패션 리큐르, 그레이프 프루트 주스, 그레나덴 시럽",,불사조가 날갯짓하는 모양을 본뜬 아름다운 색채의 칵테일.,1,,
플라잉 그래스 호퍼,쓴맛 ,쓴맛,26,#475f3b,vodka,"보드카, 크림 드 민트 그린, 크림 드 민트 화이트",,"민트 향이 강하게 나는, 입안을 상쾌하게 하는 칵테일.",0,,
블랙 러시안,쓴맛 ,쓴맛,32,#986d40,vodka,"보드카, 칼루아",,"칼루아의 단맛과 향, 도수는 높다.",0,,
블랙 클라우드,,중간 맛,32,#53382f,vodka,"보드카, 티아 마리아",,커피 맛에서 생겨난 칵테일.,0,,
블러디 시저,,중간 맛,13,#b53527,vodka,"보드카, 크라마토 주스",,블러디 메리와 같다. 몸에 좋은 칵테일.,0,,
블러디 메리,,중간 맛,12,#932a2e,vodka,"보드카, 토마토 주스",,숙취에 좋다고 하며 술꾼에게는 단골.,1,,
블러디 불,부드러운맛,중간 맛,11,#bd4d42,vodka,"보드카, 토마토 주스, 비프 브이용, 레몬 주스",,"건강한 기분으로 만드는, 위에 부드러운 칵테일.",1,,
플라밍고,,중간 맛,18,#d4a93f,vodka,"보드카, 캄파리, 샴페인",,아름다운 플라밍고의 모습을 연상한 칵테일.,0,,
플라밍고 레이디,부드러운맛,중간 맛,22,#b35810,vodka,"보드카, 피치 리큐르, 파인애플 주스, 레몬 주스, 그레나덴 시럽",,여성 취향에 더욱 아름답고 마시기 부드럽게 한 칵테일.,1,,
브루스터 스페셜,,중간 맛,35,#7d5421,vodka,"보드카, 사이다",,간단한 레시피이므로 장식에 신경을 쓴다.,0,,
블루 먼데이,,중간 맛,34,#5e74a9,vodka,"보드카, 쿠앵트로, 블루 큐라소",,우울한 월요일을 건강하게 맞이하는 칵테일.,0,,
블루 라군,청량한맛,중간 맛,20,#5b7192,vodka,"보드카, 블루 큐라소, 레몬 주스",,파란 남국의 바다. 청량감이 있는 여름의 드링크.,1,,
불 쇼트,,중간 맛,24,#c2903a,vodka,"보드카, 비프 브이용",,식욕 증진이 되는 수프 대신의 식전주.,0,,
불독,,중간 맛,16,#c9b47c,vodka,"보드카, 그레이프 프루트 주스",,소금기를 뺀 솔티 독. 이름은 바뀌지만 레시피는 같다.,1,,
불렛,쓴맛 ,쓴맛,26,#b3a890,vodka,"보드카, 쿠앵트로, 레몬 주스",,상큼하게 목으로 넘어가며 뒷맛에 쿠앵트로 향이 남는다.,1,,
헤어 라이저,쓴맛 ,쓴맛,28,#c38a09,vodka,"보드카, 라이 위스키, 레몬 주스",,"라이 위스크와 배합, 신맛을 살린 칵테일.",1,,
베르니스,단맛,중간 맛,24,#ac8100,vodka,"보드카, 갈리아노, 플레시 라임 주스, 앙고스타라 비터",,달콤한 향으로 채운 감칠맛이 있는 칵테일.,1,,
볼가,상큼한맛,중간 맛,24,#cd9800,vodka,"보드카, 라임 주스, 오렌지 비터, 그레나덴 시럽",,볼가 강의 이미지를 감귤계의 향에 실어.,1,,
볼가 보트만,단맛,단맛,18,#903e14,vodka,"보드카, 체리 브랜디, 오렌지 주스",,새콤달콤함이 균형을 이루는 맛있는 칵테일.,1,,
폴로네이즈,,중간 맛,24,#a82420,vodka,"보드카, 체리 브랜디, 레몬 주스, 설탕 시럽",,화려한 궁정 무곡을 생각나게 하는 아름다운 색채의 칵테일.,1,,
화이트 스파이더,상쾌한맛,중간 맛,30,#d2d0c6,vodka,"보드카, 크림 드 민트 화이트",,페퍼민트의 상쾌함을 마실 수 있는 칵테일.,0,,
화이트 러시안,,단맛,25,#915b36,vodka,"보드카, 커피 리큐르, 플레시 크림",,아이스 커피와 같은 맛을 내는 칵테일.,0,,
봄버,쓴맛 ,쓴맛 ,36,#be8e00,vodka,"보드카, 브랜디, 쿠앵트로, 아니세트",,두 개의 증류수를 사용하는 이름 그대로의 강한 칵테일.,0,,
마카룬,,단맛,30,#963128,vodka,"보드카, 초콜릿 리큐르, 아마렛토",,아마렛토와 초콜릿 향이 나는 식후의 디저트.,0,,
머기 블루,"단맛, 감칠맛",중간 맛,11,#9e3b31,vodka,"보드카, 프랑부아즈 리큐르, 라임 주스, 설탕 시럽, 블루 큐라소",,달콤함 속에 짜릿한 감칠맛의 칵테일.,1,,
머드 슬라이드,단맛,단맛,10,#9d5a00,vodka,"보드카, 카루아 커피 리큐르",,혀 끝에 닿는 느낌이 커피맛인 칵테일.,0,,
마릴린 먼로,쓴맛,중간 맛,26,#972621,vodka,"보드카, 캄파리, 스위트 베르무트",,캄파리의 쓴맛이 나는 성숙한 맛이 나는 칵테일.,0,,
멜론 볼,단맛,중간 맛,8,#6d3701,vodka,"보드카, 멜론 리큐르, 오렌지 주스",,"달콤한 멜론 향이 감도는, 맛있게 마실 수 있는 식후주.",1,,
마루루,단맛,중간 맛,16,#b38a25,vodka,"보드카, 멜론 리큐르, 파인애플 주스, 레몬 주스, 코코넛 밀크",,코코넛 밀크와 멜론의 즐거운 트로피컬 칵테일.,1,,
모스코 뮬,,중간 맛,12,#dacfbb,vodka,"보드카, 라임, 진저 에일",,미국산의 러시안 칵테일.,1,,
라일라,쓴맛 ,쓴맛,35,#b8b6b5,vodka,"보드카, 쿠앵트로, 플레시 라임 주스",,아라비아어로 세레나데란 뜻으로 밤의 상쾌한 바람과 같은 술.,1,,
러시안,,중간 맛,33,#a46719,vodka,"보드카, 드라이 진, 크림 드 카카오",,초콜릿맛 속에 도수가 높은 증류수가 숨어 있다.,0,,
루나 파크,,중간 맛,23,#977774,vodka,"보드카, 바이올렛 리큐르, 드링크 요구르트, 아세로라 주스",,맑은 밤하늘을 연상한 낭만적인 칵테일.,1,,
뤼팽,상쾌한맛,중간 맛,20,#bc8a00,vodka,"보드카, 알리제, 오렌지 주스, 스파클링 와인",,상쾌하게 목을 통과하는 멋쟁이 칵테일.,1,,
레이크 퀸,단맛,중간 맛,24,#5e633b,vodka,"보드카, 그린티 리큐르, 파인애플 주스, 플레시 크림",,생크림과 일본 차의 미묘한 하모니가 아름답다.,0,,
레드 애플,"단맛,신맛",중간 맛,22,#9a4e19,vodka,"보드카, 사과 주스, 레몬 주스, 그레나덴 시럽",,사과의 단맛과 레몬의 신맛이 조화를 이루는 술.,1,,
레드 립스,감칠맛,중간 맛,28,#752915,vodka,"보드카, 그랑 마니에, 캄파리, 계란 흰자, 앙고스트라 비터",,계란 흰자의 부드러움이 감칠맛을 좋게 한다.,0,,
로열 브라이드,,중간 맛,22,#b38e40,vodka,"보드카, 피치 리큐르, 피치 넥타, 플레시 크림",,웨딩 드레스를 연상한 기쁨의 칵테일.,0,,
로열 러시안,단맛,단맛,26,#746f60,vodka,"보드카, 크림 드 민트 그린, 그레나덴 시럽, 플레시 크림",,에메랄든 색을 지닌 아름다운 색채의 디저트 술.,0,,
로즈 오브 바르샤바,,중간 맛,26,#6e2e07,vodka,"보드카, 체리 브랜디, 쿠앵트로, 앙고스트라 비터",,아름다운 바르샤바의 추억을 칵테일에 표현했다.,0,,
로드 런너,단맛,단맛,23,#a89883,vodka,"보드카, 디사론노 아마렛토, 코코넛 밀크",,아마렛토 향이 나는 부드러운 감칠맛의 칵테일.,0,,
로베르타,부드러운맛,중간 맛,24,#93430b,vodka,"보드카, 드라이 브레무트, 체리 브랜디, 캄파리, 크림 드 바나누",,"부드러운 향과 맛, 기분 좋은 감촉의 칵테일.",0,,
바르샤바,신맛,중간 맛,28,#822818,vodka,"보드카, 블랙베리 브랜디, 드라이 베르무트, 레몬 주스",,레몬의 신맛으로 상큼하게 식욕을 증진시키는 칵테일.,1,,
아이 오프너,농후한맛,중간 맛,22,#b2824d,rum,"화이트 럼, 페르노, 크림 드 노와요, 오렌지 큐라소, 설탕, 계란 노른자",,"계란 노른자가 들어간 농후한 맛, 영양가도 높다.",1,,
아카풀코,감칠맛,중간 맛,27,#838fd5,rum,"럼, 코안트로, 레몬 주스, 설탕",,짜릿한 맛 속에 향과 감칠맛이 살아 있다.,1,,
아스트로노트,상쾌한맛,중간 맛,26,#e4bb00,rum,"럼, 보드카, 레몬 주스, 패션 프루트 주스",,레몬 주스의 향이 상쾌한 중간 맛.,1,,
아디오스 아미고스,쓴맛 ,쓴맛,36,#b4832c,rum,"화이트 럼, 드라이 베르무트, 브랜디, 드라이 진, 라임 주스",,세 개의 증류수를 셰이크한 강한 칵테일.,1,,
아메리칸 플라이어,투명한맛,중간 맛,9,#b1ada6,rum,"화이트 럼, 라임 주스, 설탕 시럽, 샴페인 적당량",,소다수 감각으로 마실 수 있는 투명감이 있는 맛.,1,,
알디라,단맛,중간 단맛,34,#005b92,rum,"화이트 럼, 프랑젤리코, 블루 큐라소, 레몬 주스",,맑게 갠 푸른 하늘을 연상한 아름다운 칵테일.,1,,
앙티르,쓴맛 ,쓴맛,30,#b7443f,rum,"화이트 럼, 듀보네",,듀보네의 불가사의한 아름다움을 자아낸 칵테일.,0,,
이슬라 데 피노스,"상큼한맛, 쓴맛",중간 맛,12,#c88957,rum,"화이트 럼, 그레이프 프루트 주스, 설탕 시럽, 그레나덴 시럽",,그레이프 프루트가 쓴맛의 럼을 완전히 바꾼다.,1,,
인디언 섬머,단맛,중간 단맛,14,#b1a3ab,rum,"화이트 럼, 드라이 진, 코코넛 주스, 코코넛 밀크, 생크림",,생크림을 사용한 농후한 맛의 칵테일.,0,,
워털루,상큼한맛,중간 맛,14,#c3881b,rum,"화이트 럼, 오렌지 주스, 만다린 리큐르",,감귤계의 과일 맛이 농후한 칵테일.,1,,
에스토릴81,상쾌한맛,중간 맛,18,#a38859,rum,"화이트 럼, 아마렛토, 레몬 주스, 아몬드 시럽",,상쾌하고 산뜻한 맛의 칵테일.,1,,
엑스 와이 지,신맛,중간 맛,27,#bbc0cf,rum,"라이트 럼, 코안트로, 레몬 주스",,산뜻한 레몬 맛이 식욕을 돋군다.,1,,
엘 자디네로,부드러운맛,중간 맛,38,#7b8ba2,rum,"화이트 럼, 산브카, 라임 주스",,산프카의 향으로 마시기 부드럽지만 도수는 높다.,1,,
엘 조르잘,단맛,중간 맛,15,#d4a100,rum,"화이트 럼, 아니세트, 오렌지 주스, 그레나덴 시럽",,적당한 단맛을 지닌 상쾌한 향.,1,,
엘 프레지던트,쓴맛 ,쓴맛,34,#7f513d,rum,"화이트 럼, 드라이 베르무트, 그레나덴 시럽, 큐라소",,위엄이 있는 톱에 어울리는 쓴맛의 칵테일.,0,,
오로라,복잡한맛,중간 맛,24,#cc7c2d,rum,"화이트 럼, 만다린 임페리얼, 프랑부아즈",,"시시각각으로 변하는 오로라, 맛도 복잡하게 퍼진다.",0,,
카이피리냐,쓴맛 ,쓴맛,28,#ada880,rum,"핑가, 설탕 시럽, 플레시 라임",,농촌의 아가씨라는 뜻. 상쾌한 맛이 인기.,1,,
카사블랑카,단맛,단맛,11,#a37870,rum,"화이트 럼, 파인애플 주스, 코코넛 밀크, 그레나덴 시럽, 앙고스트라 비터",,핑크 색상이 아름다운 럼 칵테일의 대표.,1,,
카바리에리,단맛,단맛,8,#a33d18,rum,"화이트 럼, 그랑 마니에, 드라이 베르무트, 스트로베리 주스",,딸기맛이 나서 달고 마시기 부드러운 칵테일.,1,,
카리비안 크루즈,단맛,중간 단맛,20,#869019,rum,"화이트 럼, 그린 바나나 리큐르, 파인애플 주스, 코코넛 리큐르, 레몬 주스",,카리브 해의 녹색 섬을 연상한 칵테일.,1,,
쿠바 리브레,단맛,단맛,12,#794f1d,rum,"화이트 럼, 플레시 라임, 콜라",,"콜라만큼의 단맛과 청량감, 손쉽게 즐길 수 있는 칵테일.",1,,
쿠반,,중간 맛,20,#7a322b,rum,"라이트 럼, 아프리콧 브랜디, 라임 주스, 그레나덴 시럽",,각각이 지닌 향이 훌륭하게 조화를 이룬 칵테일.,1,,
킹스톤,,중간 맛,23,#c37522,rum,"자메이카 럼, 화이트 큐라소, 레몬 주스, 그레나덴 시럽",,개성이 강한 자메이카 럼이 베이스 중간 맛의 칵테일.,1,,
쿼터 데크,감칠맛,중간 맛,25,#bbbcb6,rum,"화이트 럼, 드라이 셰리, 라임 주스",,럼과 셰리가 상쾌한 감칠맛을 느끼게 한다.,1,,
그린 아이즈,단맛,단맛,11,#acaa9d,rum,"골드 럼, 미도리, 파인애플 주스, 코코넛 밀크, 라임 주스",,여성에게 어울리는 달콤한 프로즌 스타일.,1,,
그로그,단맛,단맛,9,#a07d06,rum,"골드 럼, 레몬 주스, 각설탕, 그로브, 시나문 스틱, 뜨거운 물",,레몬과 설탕의 달콤새콤한 맛이 나는 드링크.,1,,
골든 게이트,쓴맛 ,쓴맛,36,#c8c1b9,rum,"화이트 럼, 드라이 셰리",,드라이함 속에 남아 있는 향기가 좋은 뒷맛.,0,,
