이름*,맛,당도*,도수*,색상*,베이스*,레시피*,키워드,설명*,신맛내는거,,신맛내는거 포함 문자열
초콜릿 솔저,"단맛, 초콜릿맛",단맛,30,#a1713a,brandy,"브랜디, 드라이 베르무트, 크림 드 카카오, 오렌지 비터스",,초콜릿 맛을 그대로 살린 칵테일.,0,,
티엔티,쓴맛,쓴맛,32,#a16925,brandy,"브랜디, 코안트로, 앙고스트라 비터, 파스피스",,각각의 개성을 살린 식욕을 자극하는 대표적인 칵테일.,0,,
데이비스 브랜디,"쓴맛, 단맛",중간 단맛,26,#a93331,brandy,"브랜디, 드라이 베르무트, 그레나덴 시럽, 앙고스트라 비터",,쌉쌀한 가운데 단맛이 숨어 있는 칵테일.,0,,
댑스 봄,"신맛, 쓴맛",쓴맛,28,#893330,brandy,"브랜디, 사과 브랜디, 레몬 주스, 그레나덴 시럽",,깊고 조용한 취기가 전신에 퍼지는 칵테일.,1,,
토퍼,"상쾌한맛, 쓴맛",쓴맛,30,#997348,brandy,"브랜디, 아프리콧 브랜디, 크림 드 민트 화이트, 페르노",,민트의 상쾌함과 페르노의 배합으로 독특한 맛을 낸다.,0,,
톱스 스마일,"단맛, 산뜻한 맛",단맛,30,#8e544c,brandy,"브랜디, 체리 브랜디, 드랑브이, 아니세트, 오렌지 주스, 레몬 주스",,산뜻한 달콤함과 신선한 향을 맛본다.,1,,
드림,쓴맛,쓴맛,30,#c8903b,brandy,"브랜디, 큐라소, 페르노",,궁합이 맞는 배합에 페르노가 포인트가 된다.,0,,
나이트캡,단맛,단맛,19,#ae8f4b,brandy,"브랜디, 큐라소, 아니세트, 계란 노른자",,"자기 전에 마시면 좋은, 몸에 부드러운 칵테일.",0,,
낸시,"단맛, 쓴맛",중간 맛,22,#af9d70,brandy,"브랜디, 베네딕틴 돔, 포트와인",,리큐르의 단맛으로 적당히 중화된 칵테일.,0,,
니콜라시카,"신맛, 단맛",단맛,40,#dfb746,brandy,"브랜디, 설탕, 슬라이스 레몬",,신맛과 단맛이 퍼지는 입안에서 만드는 칵테일.,1,,
닉스 온,"쓴맛, 단맛",중간 맛,28,#7d412f,brandy,"브랜디, 스위트 베르무트, 앙고스트라 비터, 페르노",,쌉쌀함 뒤에 희미한 단맛의 뒷맛이 그윽한 칵테일.,0,,
뉴튼스 스페셜,"쓴맛, 단맛",중간 맛,30,#5d3b28,brandy,"브랜디, 코안트로, 앙고스트라 비터",,코안트로의 향이 잘 나는 중간 맛의 칵테일.,0,,
허큘리스,"신맛, 단맛",단맛,22,#7f3119,brandy,"브랜디, 디사론노 아마렛토, 그레나덴 시럽, 오렌지 주스",,여름의 별자리와 연관된 이름으로 새콤달콤한 여름 드링크.,1,,
하바드,감칠맛,중간 맛,28,#78513e,brandy,"브랜디, 스위트 베르무트, 앙고스트라 비터, 설탕 시럽",,달지도 쓰지도 않은 적당한 감칠맛이다.,0,,
패신저 리스트,"단맛, 제비꽃맛..?",단맛,35,#83766a,brandy,"브랜디, 샤르트뢰즈 옐로, 바이올렛 리큐르, 드라이 진, 페르노",,제비꽃 색과 향이 입안에 퍼지는 칵테일.,0,,
반더빌트,단맛,단맛,27,#714c4b,brandy,"브랜디, 체리 브랜디, 설탕 시럽, 앙고스트라 비터",,식후에 달콤하고 향기 있는 칵테일을 천천히 즐기는 행복한 시간.,0,,
피터 타워,쓴맛,쓴맛,30,#ab5d1f,brandy,"브랜디, 라이트 럼, 큐라소, 그레나덴 시럽, 레몬 주스",,럼과 큐라소로 브랜디가 남국 분위기로.,1,,
빅보이,쓴맛,중간 맛,32,#b27f33,brandy,"브랜디, 코안트로, 레몬 시럽",,"기품이 있는 향을 맛보는 식전, 식후에 마시는 칵테일.",1,,
비트윈 더 시츠,"신맛, 쓴맛",중간 맛,32,#ae7824,brandy,"브랜디, 화이트 럼, 코안트로, 레몬 주스",,의미 심장한 이름의 어른이 즐기는 칵테일.,1,,
빌리 해밀턴,"초콜릿맛, 단맛",단맛,30,#4b291c,brandy,"브랜디, 오렌지 큐라소, 크림 드 카카오, 계란 흰자",,초콜릿 맛이 피로를 달래주어 여유로운 기분으로 만드는 칵테일.,0,,
판타지오,"상쾌한맛, 쓴맛",쓴맛,30,#9c5728,brandy,"브랜디, 드라이 베르무트, 마라스키노, 크림 드 민트 화이트",,민트의 상큼함이 입안에 퍼지는 산뜻한 맛.,0,,
피비 스노,"감칠맛, 쓴맛",중간 맛,27,#6f4334,brandy,"브랜디, 듀보네, 페르노",,월광에 및나는 구름과 같은 아름다운 감칠맛이 있는 칵테일.,0,,
후플라,"신맛, 쓴맛",중간 맛,27,#af8c01,brandy,"브랜디, 코안트로, 릴레 블랑, 레몬 주스",,멋지다! 라는 이름대로 신선한 맛이 살아 있다.,1,,
페이버리트,신맛,중간 맛,28,#aa461d,brandy,"브랜디, 드라이 진, 레몬 주스, 그레나덴 시럽",,주스 감각이라고는 하나 도수가 강한 중간 맛의 식전주.,1,,
페르네,"단맛, 쓴맛",중간 맛,28,#906f40,brandy,"브랜디, 페르네 블랑카, 앙고스트라 비터, 설탕 시럽",,조금 변했지만 마시기 부드러운 식전주.,0,,
포 스코어,"단맛, 신맛",중간 맛,25,#926132,brandy,"브랜디, 릴레 블랑, 옐로 샤르트뢰즈",,"산뜻하고 순한 단맛, 과일 맛의 식전주.",1,,
브랜디 칵테일,"쓴맛, 부드러운맛",중간 맛,33,#6e4937,brandy,"브랜디, 베네딕틴, 앙고스트라 비터",,보드카 베이스도 있는 스탠더드한 식전주.,0,,
브랜디 에그 노그,"단맛, 쓴맛",중간 맛,27,#b2a293,brandy,"브랜디, 골든 럼, 설탕, 계란, 우유",,뜨거운 물을 부으면 톰&제리. 여름에 시원하게하여 마시는 계란 술.,0,,
브랜디 건프,신맛,중간 맛,30,#802b10,brandy,"브랜디, 레몬주스, 그레나덴 시럽",,신맛이 칵테일의 맛을 결정한다.,1,,
브랜드 크러스타,신맛,중간 맛,27,#b48a00,brandy,"브랜디, 큐라소, 마라스키노, 레몬 주스",,"상큼한 오렌지 맛, 레몬 껍질이 향기가 난다.",1,,
브랜드 콜린스,신맛,중간 맛,16,#7e2c11,brandy,"브랜디, 플레시 레몬 주스, 설탕가루, 소다수",,레몬의 신선한 향과 소다수의 상쾌함.,1,,
브랜드 샴파렐,신맛,중간 맛,30,#9c7b00,brandy,"브랜디, 큐라소, 앙고스트라 비터",,오렌지의 풍부한 향과 최고의 배합으로 탄생한 칵테일.,1,,
브랜디 픽스,"신맛, 부드러운맛, 단맛",중간 맛,18,#ae5211,brandy,"브랜디, 체리 브랜디, 레몬 주스, 설탕 시럽, 물",,신맛이 많이 나는 마시기 부드러운 여름 대상의 롱 드링크.,1,,
프린스 찰스,"신맛, 쓴맛",중간 맛,28,#9e560d,brandy,"브랜디, 드랑브이, 레몬 주스",,영국의 이미지에 맞춘 확실한 맛의 술.,1,,
블 프로그,"단맛, 초콜릿맛, 상쾌한맛",단맛,18,#7c8167,brandy,"브랜디, 카카오 리큐르, 크림 드 민트 글닌, 생크림",,민트 초콜릿의 맛으로 식후에 느긋하게 즐긴다.,0,,
플레이메이트,"신맛, 부드러운맛",중간 맛,30,#884919,brandy,"브랜디, 아프리콧 브랜디, 그랑 마니에, 오렌지 시럽, 계란 흰자, 앙고스트라 비터",,과일계로 통합한 계란 흰자로 감싼 부드러운 맛.,1,,
프레스토,"신맛, 단맛, 부드러운 맛",중간 맛,30,#bf6e25,brandy,"브랜디, 스위트 베르무트, 오렌지 주스, 페르노",,부드럽게 넘어가는 향이 풍부한 식전주.,1,,
프렌치 커넥션,단맛,단맛,34,#9b6b06,brandy,"브랜디, 아마렛토",,영화에 연류된 이름으로 풍부한 단맛과 향이 있는 칵테일.,0,,
프루프,쓴맛,중간 맛,30,#c6afa4,brandy,"브랜디, 스위트 베르무트, 베네딕틴",,베네딕틴의 향이 식욕을 돋구어주는 칵테일.,0,,
베티 로스,신맛,중간 맛,27,#6a1116,brandy,"브랜디, 포트와인, 앙고스트라 비터, 레몬 주스",,레몬의 신맛과 비터맛이 상큼하다.,1,,
베네딕틴 칵테일,신맛,중간 맛,25,#a35c00,brandy,"브랜디, 베네딕틴, 레몬 주스",,코냑을 베이스로 한 베네딕틴이 맛의 깊이를 더해 준다.,1,,
베란다,"신맛, 단맛",중간 맛,27,#ae7100,brandy,"브랜디, 드라이 베르무트, 오렌지 주스",,베란다로 바람에 날려서 마시고 싶은 주스 감각의 술.,1,,
펭귄,신맛,중간 맛,23,#c29000,brandy,"브랜디, 코안트로, 레몬 주스, 오렌지 주스",,과일 주스를 듬뿍 넣은 여름 대상의 칵테일.,1,,
휘프,"상쾌한맛, 쓴맛",중간 맛,32,#9b7500,brandy,"브랜디, 드라이 베르무트, 큐라소, 파스티스",,상쾌함이 있는 파스티스가 칵테일의 중심이 된다.,0,,
호스 넥,신맛,중간 맛,10,#b1820f,brandy,"브랜디, 레몬 껍질, 진저 에일",,주역은 레몬 껍질을 나선 모양으로 깎은 상큼한 맛의 칵테일.,1,,
버튼 훅,"상쾌한맛, 단맛",중간 맛,30,#b67b16,brandy,"브랜디, 아프리콧 브랜디, 크림 드 민트 화이트, 페르노",,민트의 향과 페르노가 식욕을 자극한다.,0,,
보니 프린스,쓴맛,중간 맛,25,#b18401,brandy,"브랜디, 드랑브이, 플레시 라임 주스",,마무리로 끼얹는 너츠메그가 칵테일의 포인트.,1,,
화이 메리,신맛,중간 맛,28,#a86900,brandy,"브랜디, 코안트로, 드라이 진, 레몬 주스",,신선하고 활기에 넘치는 신맛이 나는 칵테일.,1,,
봄베이,쓴맛,중간 맛,28,#9d4f13,brandy,"브랜디, 스위트 베르무트, 드라이 베르무트, 파스티스, 오렌지 큐라소",,각각의 증류주가 맛을 풍부하게 하는 칵테일.,1,,
미카도,쓴맛,중간 맛,31,#b67723,brandy,"브랜디, 크림 드 카카오, 큐라소, 설탕 시럽, 앙고스트라 비터",,개성이 강한 증류쥬끼리 깊이 있는 맛을 낸다.,0,,
물랭 로즈,신맛,중간 맛,11,#c19800,brandy,"브랜디, 파인애플 주스, 샴페인",,프랑스의 좋은 시대를 그리는 우아한 맛의 칵테일.,0,,
문 레이커,"단맛, 쓴맛",중간 맛,23,#603f37,brandy,"브랜디, 듀보네, 피치 브랜디, 페르노",,적당한 단맛과 페르노의 자극이 식욕을 돋구는 식전주.,0,,
메트로폴리탄 No 1,쓴맛,쓴맛,30,#892814,brandy,"브랜디, 스위트 베르무트, 설탕, 앙고스트라 비터",,확실한 쓴맛으로 목으로 넘길 때의 감칠맛이 여운을 남긴다.,0,,
메트로폴리탄 No 2,"단맛, 상쾌한맛",단맛,30,#652420,brandy,"브랜디, 듀보네, 크림 드 민트 화이트",,"메트로폴리탄의 단맛과 쓴맛, 이 두가지를 나누어 마셔보자.",0,,
모닝,"쓴맛, 상쾌한맛",쓴맛,30,#9d5d15,brandy,"브랜디, 드라이 베르무트, 큐라소, 마라스키노, 오렌지 비터, 페르노",,아침의 상쾌함을 칵테일로 기분 좋게 마실 수 있는 식전주.,1,,
몬태나,"단맛, 감칠맛, 쓴맛",중간 맛,24,#6d2315,brandy,"브랜디, 포트와인, 드라이 베르무트",,단맛 와인과 브랜디의 궁합이 맞는 칵테일.,0,,
영맨,"쓴맛, 단맛",쓴맛,32,#5b120c,brandy,"브랜디, 스위트 베르무트, 오렌지 큐라소, 앙고스트라 비터",,젊은이의 강인함을 연상한 달고 쌉쌀한 칵테일.,0,,
라 홀라,"신맛, 단맛",중간 맛,26,#b87900,brandy,"브랜디, 크림 드 바나누, 신선한 레몬 주스, 신선한 오렌지 주스",,과일 맛이 뒤섞인 올디스 드링크.,1,,
리에종,단맛,단맛,32,#88631b,brandy,"브랜디, 코안트로, 크림 드 카카오, 앙고스트라 비터",,달콤함이 마실수록 마음을 편안하게 한다.,0,,
릴리안,"단맛, 초콜릿맛",단맛,28,#7d2e23,brandy,"브랜디, 키르슈, 카카오 리큐르, 그레나덴 시럽",,"앵두와 초콜릿, 디저트로 즐길 수 있는 칵테일.",0,,
릴리퍼트,"신맛, 쓴맛",중간 맛,24,#a06801,brandy,"브랜디, 릴레 브랑, 레몬 주스, 화이트 큐라소",,식전 와인과 브랜디와 배합.,1,,
레이 롱,쓴맛,쓴맛,30,#642213,brandy,"브랜디, 스위트 베르무트, 앙고스트라 비터, 페르노",,변형이 많은 칵테일다운 맛.,0,,
레이크 사이드,"상쾌한맛, 단맛, 초콜릿맛",단맛,28,#73500a,brandy,"브랜디, 코안트로, 카카오 리큐르, 크림 드 민트 화이트",,민트 초콜릿 맛으로 식후의 대화를 즐기는 칵테일.,0,,
레이디 오브 메이,신맛,중간 맛,18,#923300,brandy,"브랜디, 체리 브랜디, 패션 푸르트 주스, 샴페인",,"5월의 체리, 그리고 샴페인의 고귀한 맛.",0,,
레이디 비 굿,단맛,중간 맛,26,#85574e,brandy,"브랜디, 스위트 베르무트, 크림 드 민트 화이트",,달콤하고 향이 좋은 칵테일.,0,,
라우드스피커,"신맛, 쓴맛",중간 맛,27,#ae7e00,brandy,"브랜디, 드라이 진, 트리플 섹, 신선한 레몬 주스",,신선한 레몬의 향과 쌉쌀한 맛을 부드럽게.,1,,
롤스 로이스,"감칠맛, 단맛",중간 맛,30,#955900,brandy,"브랜디, 코안트로, 오렌지 주스, 계란 흰자",,계란 흰자가 증류주를 부드럽게 감싸는 칵테일.,1,,
로스 로열,"단맛, 초콜릿맛, 상쾌한맛",단맛,30,#7f460e,brandy,"브랜디, 크림 드 바나누, 민트 초콜릿 리큐르",,브랜디와 리큐르의 멋진 조합.,0,,
업 투 데이트,쓴맛,중간 맛,30,#ad875f,whisky,"라이 위스키, 드라이 베르무트, 그랑 마니에, 앙고스트라 비터",,"라이 위스키의 향이 풍부하고, 그랑 마니에의 맛이 감돈다.",0,,
어드미럴,"신맛, 쓴맛",중간 맛,23,#bf8652,whisky,"버번 위스키, 엑스트라 드라이 베르무트, 레몬 주스",,음악가가 편곡한 재즈 팬을 위한 칵테일.,1,,
아이리시 커피,"커피맛, 부드러운맛",중간 맛,8,#54412c,whisky,"아이리시 위스키, 각설탕, 핫 커피, 휘프 크림",,"아일랜드 공항에서 만든, 몸을 따뜻하게 하는 핫 칵테일.",0,,
아피니티,쓴맛,중간 맛,28,#b5855b,whisky,"스카치 위스키, 스위트 베르무트, 드라이 베르무트, 앙고스트라 비터",,"영국, 프랑스, 이탈리아의 밀접한 관계를 표현.",0,,
앨곤킨,쓴맛,쓴맛,24,#c68e3f,whisky,"라이 위스키, 드라이 베르무트, 파인애플 주스",,파인 맛이 있지만 약간 쓴맛이 느껴지는 위스키 풍.,0,,
알폰소 카포네,"부드러운맛, 쓴맛",중간 맛,30,#c1b7b2,whisky,"I.W. 하퍼 골드 메달, 그랑 마니에 골들 루주, 녹색 멜론 리큐르, 플레시 크림",,1920년대 금연법 시대를 묘사.,0,,
언터처블,"신맛, 쓴맛",중간 맛,23,#936158,whisky,"아메리칸 위스키, 화이트 럼, 카시스, 블루 큐라소, 그레이프 프루트 주스",,미국 금연법 시대의 밀조주 취재관을 이미지.,0,,
비발레오,쓴맛,쓴맛,37,#885d29,whisky,"캐나디안 위스키, 갈리아노, 코안트로, 크림 드 민트",,세 종류의 리큐르의 균형이 잘 맞는 쓴맛 칵테일.,0,,
위즈 뱅,쓴맛,쓴맛,34,#8a5228,whisky,"스카치 위스키, 드라이 베르무트, 페르노, 그레나덴, 앙고스트라 비터",,페르노 맛이 특징인 쓴맛의 칵테일.,0,,
위스키 온 더 록,쓴맛,쓴맛,38,#8e5620,whisky,"위스키, 얼음",,위스키 그 자체를 차게 마신다.,0,,
위스키 칵테일,"쓴맛, 신맛",쓴맛,36,#7a5f3b,whisky,"스카치 위스키, 트리플 섹, 앙고스트라 비터",,위스키 본래의 맛과 향에 약간의 오렌지 맛.,0,,
위스키 코블러,쓴맛,쓴맛,32,#ae8236,whisky,"스카치 위스키, 설탕 시럽, 트리플 섹",,알코올의 강도와 쓴맛은 하드 드링크 경향.,0,,
위스키 사워,"신맛, 감칠맛",중간 맛,23,#c7a01b,whisky,"위스키, 레몬 주스, 설탕 시럽",,신맛이 나고 감칠맛이 좋은 대표적인 사워.,1,,
위스키 토디,"쓴맛, 단맛",중간 맛,18,#89755c,whisky,"위스키, 물, 설탕",,올드패션드를 희석한 듯한 달콤한 맛.,0,,
위스티 소다,쓴맛,쓴맛,13,#ae9b81,whisky,"위스키, 소다수",,구미에서 명칭은 위스키&소다 워터.,0,,
위스키 맥,쓴맛,중간 맛,20,#c89d0c,whisky,"스카치 위스키, 진저 와인",,스카치 중에서도 몰트 위스키로 맛보고 싶다.,0,,
위스키 플로트,쓴맛,쓴맛,13,#bd7b22,whisky,"위스키, 미네랄 워터",,"물과 알코올의 비중 차를 이용한, 보기만 해도 즐거운 술.",0,,
위스키 미스트,쓴맛,쓴맛,32,#bd9748,whisky,"위스키, 레몬필",,물을 타서 희석시킨 것과 온 더 록의 중간에 위치한 칵테일.,0,,
H.B.C 칵테일,"쓴맛, 신맛",중간 맛,33,#8b261a,whisky,"스카치 위스키, 베네딕틴, 크림 드 카시스, 레몬 주스",,약초계 리큐르와 카시스의 적당한 균형.,1,,
에반스,쓴맛,중간 맛,40,#85705f,whisky,"라이 위스키, 아프리콧 브랜디, 트리플 섹",,아프리콧으로 마시기 부드러우나 알코올 도수는 높다.,0,,
에리카,"쓴맛, 신맛",중간 맛,30,#943822,whisky,"스카치 위스키, 크림 드 카시스, 포도 주스, 그레나덴 시럽, 레몬 주스",,가련한 에리카 꽃을 표현한 화려한 분위기의 칵테일.,1,,
엠버시 로열,쓴맛,중간 맛,33,#8c512d,whisky,"버번 위스키, 드랑브이, 스위트 베르무트, 오렌지 시럽",,드랑브이가 숙성된 깊은 향을 충분히 즐길 수 있다.,0,,
올드 니크,신맛,중간 맛 ,30,#9c6726,whisky,"라이 위스키, 드랑브이, 오렌지 주스, 레몬 주스, 앙고스트라 비터",,감귤계의 신맛이 상쾌한 깊이가 있는 위스키 칵테일.,1,,
올드 펄,"쓴맛, 감칠맛",중간 맛,25,#773612,whisky,"라이 위스키, 드라이 베르무트, 캄파리 비터",,쌉쌀함 가운데 약간의 감칠맛이 인기의 비결.,0,,
올드 패션드,"쓴맛, 단맛",중간 맛,32,#9d5419,whisky,"버번 또는 라이 위스키, 앙고스트라 비터, 각설탕",,"머들러로 각설탕, 오렌지를 으깨면서 자신의 맛을 즐기자.",0,,
오리엔탈,"신맛, 단맛",중간 맛,25,#c1962a,whisky,"라이 위스키, 베르무트 비앙코, 트리플 섹, 라임 주스",,신선한 단맛과 향으로 동양적인 기분으로.,1,,
오를레아니안,"단맛, 쓴맛",중간 맛,36,#a3623c,whisky,"라이 위스키, 페르노, 설탕 시럽, 앙고스트라 비터",,단맛과 약간의 쌉쌀함이 미묘한 균형을 이룬다.,0,,
카우보이,"부드러운맛, 쓴맛",중간 맛,27,#98867b,whisky,"버번 위스키, 플레시 크림",,위스키와 크림만으로 부드러운 감칠맛.,0,,
키스 미 퀵,쓴맛,중간 맛,27,#965815,whisky,"스카치 위스키, 프랑부아즈, 듀보네",,호텔의 바에서 기분을 돋울 때 주문.,0,,
캡틴 콜린스,신맛,중간 맛,27,#9e660c,whisky,"캐나디언 위스키, 플레시 라임 주스, 그레나덴 시럽",,신맛이 나는 위스키 콜린스.,1,,
킹 조지 피브스,"떫은맛, 쓴맛",중간 맛,36,#9c7130,whisky,"스카치 위스키, 드라이 진, 코안트로, 크림 드 카카오, 레몬 주스",,"떫은 맛, 쓴맛이 적당한 균형을 이룬다.",1,,
킹스 밸리,"부드러운맛, 신맛",중간 맛,33,#5486a7,whisky,"스카치 위스키, 화이트 큐라소, 라임 주스, 블루 큐라소",,큐라소의 향으로 부드러운 맛.,1,,
클로버 나이트,단맛,단맛,24,#8b8071,whisky,"아이리시 위스키, 베일리스 아이리시 크림, 비치 리큐르",,행복을 불러올 것 같은 칵테일.,0,,
크론다이크 쿨러,"상쾌한맛, 신맛, 쓴맛",중간 맛,12,#bd9400,whisky,"위스키, 오렌지 주스, 설탕 시럽, 진저 에일",,위스키에 진저 에일을 섞어 목을 넘길 때 상쾌한 칵테일.,1,,
케이블그램 하이볼,"신맛, 단맛",중간 맛,13,#c0b4a1,whisky,"위스키, 레몬 주스, 시럽",,진저 에일의 상큼한 맛의 롱 드링크.,1,,
캔터키 커늘,"쓴맛, 단맛",중간 맛,40,#986636,whisky,"버번 위스키, 베네딕틴",,버번 맛이 나는 강한 칵테일.,0,,
코튼 플라워,신맛,중간 맛,25,#a51c12,whisky,"잭다니엘 블랙, 디사론노 아마렛토, 오렌지 히링, 오렌지 주스, 그레나덴 시럽",,잭다니엘을 사용한 맛있는 칵테일.,1,,
갓파더,"단맛, 쓴맛",단맛,34,#87620e,whisky,"위스키, 아마렛토",,아마렛토의 향과 단맛이 농후한 위스키의 맛을 감싼다.,0,,
코모도르,"쓴맛, 감칠맛",쓴맛,26,#8f4d0f,whisky,"버번 위스키, 레몬 주스, 설탕 시럽, 앙고스트라 비터",,산뜻한 감칠맛의 바다 사나이의 칵테일.,1,,
사일런트 서드,"쓴맛, 신맛",중간 맛,26,#cbb365,whisky,"스카치 위스키, 코안트로, 레몬 주스",,확실한 맛을 부드러운 향으로 마무리했다.,1,,
서던 진저,"신맛, 쓴맛",쓴맛,27,#8c5712,whisky,"버번 위스키, 레몬 주스",,레몬의 신맛이 강하고 산뜻한 칵테일.,1,,
서던 벨르,"상쾌한맛, 쓴맛, 부드러운맛",중간 맛,21,#836f60,whisky,"버번 위스키, 플레시 크림, 크림 드 민트, 크림 드 카카오",,일명 남국의 미녀라고도 한다. 민트 맛이 상쾌한 칵테일.,0,,
서머 히스,단맛,단맛,33,#86430e,whisky,"스카치 위스키, 크림 드 카시스, 드랑브이, 플레시 라임 주스",,한여름에 피어나는 히스꽃을 연상.,1,,
존 콜린스,신맛,중간 맛,14,#9f864c,whisky,"버번 또는 라이 위스키, 레몬 주스, 설탕 시럽, 소다수",,일명 위스키 콜린스. 레몬으로 산뜻한 맛.,1,,
스카치 킬트,쓴맛,중간 맛,36,#bb9811,whisky,"스카치 위스키, 드랑브이, 오렌지 비터",,스코틀랜드에서 탄생한 싶은 맛을 즐길 수 있는 칵테일.,1,,
스카치 콜린스,신맛,중간 맛,18,#845c0a,whisky,"스카치 위스키, 레몬 주스, 설탕 시럽",,스카치를 사용한 산뜻한 맛의 롱 드링크.,1,,
스카치 프라페,쓴맛,중간 맛,22,#a06c00,whisky,스카치 위스키,,자잘한 얼음이 혀에 닿는 감촉이 시원하고 마시기 쉽다.,0,,
세인트 앤드류스,"단맛, 신맛",중간 맛,27,#895012,whisky,"스카치 위스키, 드랑브이, 오렌지 주스",,오렌지의 단맛이 나는 부드러운 술.,1,,
타탄 체크,신맛,중간 맛,8,#915705,whisky,"스카치 위스키, 마티니 비터, 레몬 주스",,오이의 시원함과 토닉 향. 약간의 마티니 맛이 맛있다.,1,,
더비 피즈,신맛,중간 맛,14,#ad7e00,whisky,"위스키, 오렌지 큐라소, 레몬 주스, 설탕 시럽, 계란",,영양 만점의 드링크로 경마로 뜨거워진 머리를 식혀 준다.,1,,
처칠,신맛,중간 맛,27,#b87e00,whisky,"스카치 위스키, 스위트 베르무트, 코안트로, 레몬 주스 또는 라임 주스",,누구라도 친근해질 수 있는 과일 맛과 향.,1,,
데일리 메일,"쓴맛, 단맛",중간 맛,21,#812e0a,whisky,"라이 위스키, 아메르 피콘, 오렌지 주스, 앙고스트라 비터",,쓴맛이 부드러워서 감칠맛이 좋다.,1,,
테네시 쿨러,상쾌한맛,중간 맛,15,#7c8e48,whisky,"테네시 위스키, 크림 드 민트 그린, 레몬 주스, 설탕 시럽, 진저 비어",,테네시 강의 시원함을 연상케 하는 롱 드링크.,1,,
나이트 세이드,"단맛, 신맛",중간 맛,25,#a0672c,whisky,"버번 위스키, 스위트 베르무트, 오렌지 주스, 샤르트뢰즈 옐로",,베르무트와 오렌지의 단맛이 일품. 전체 맛이 순하여 마시기 부드럽다. ,1,,
뉴욕,"단맛, 신맛, 쓴맛",중간 맛,26,#cc7e19,whisky,"버번 위스키 또는 라이 위스키, 라임 주스 코디얼, 그레나덴 시럽, 파우더 슈거",,과일 맛도 즐길 수 있는 달콤한 맛과 쌉쌀한 맛.,1,,
네빈스,신맛,중간 맛,17,#b57a25,whisky,"버번 위스키, 포도 주스, 아프리콧 브랜디, 레몬 주스, 앙고스트라 비터",,레몬의 신맛을 끌어내어 주스 같은 맛.,1,,
바바리 코스트,부드러운맛,중간 맛,28,#aa9176,whisky,"스카치 위스키, 화이트 럼, 드라이 진, 크림 드 카카오, 플레시 크림",,카사블랑카가 있는 북아프리카 연안이 칵테일 이름.,0,,
바비칸,"신맛, 쓴맛",중간 맛,30,#bd922a,whisky,"스카치 위스키, 좋아하는 과일 주스, 드랑브이",,"좋아하는 주스를 사용하여 단맛, 신맛을 조정한다.",1,,
퍼펙트 로브 로이,"단맛, 쓴맛",중간 맛,34,#8e6142,whisky,"스카치 위스키, 드라이 베르무트, 스위트 베르무트",,"단맛과 쓴맛의 균형이 맞고, 향과 맛이 풍부한 칵테일.",0,,
버번 쿨러,"단맛, 쓴맛",중간 맛,12,#c08336,whisky,"버번 위스키, 크림 드 민트, 그레나덴 시럽, 설탕 시럽, 앙고스트라 비터",,갈증을 해소해 주는 버번에 소다수를 탄 것.,0,,
버버넬라,"감칠맛, 쓴맛",중간 맛,28,#a47d61,whisky,"버번 위스키, 드라이 베르무트, 오렌지 큐라소, 그레나덴 시럽",,버번의 맛이 깊고 감칠맛이 있는 칵테일.,1,,
